question,answers,page,link
Where do corona viruses come from?,"corona viruses are viruses that circulate among animals with some of them also known to infect humans. Bats are considered natural hosts of these viruses yet several other species of animals are also known to act as sources. For instance, Middle East Respiratory Syndrome corona virus (MERS-CoV) is transmitted to humans from camels, and Severe Acute Respiratory Syndrome corona virus-1 (SARS-CoV-1) is transmitted to humans from civet cats. More information on corona viruses can be found in the ECDC factsheet.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Is this virus comparable to SARS or to the seasonal flu?,"The novel corona virus detected in China in 2019 is closely related genetically to the SARS-CoV-1 virus. SARS emerged at the end of 2002 in China, and it caused more than 8 000 cases in 33 countries over a period of eight months. Around one in ten of the people who developed SARS died. As of 30 March 2020, the COVID-19 outbreak had caused over 700 000 cases worldwide since the first case was reported in China in January 2020. Of these, more than 30 000 are known to have died. While the viruses that cause both COVID-19 and seasonal influenza are transmitted from person-to-person and may cause similar symptoms, the two viruses are very different and do not behave in the same way.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
What is the mode of transmission of corona virus?,"While animals are believed to be the original source, the virus spread is now from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three other people. The virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one metre). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection. The incubation period for COVID-19 (i.e. the time between exposure to the virus and onset of symptoms) is currently estimated to bet between one and 14 days. We know that the virus can be transmitted when people who are infected show symptoms such as coughing. There is also some evidence suggesting that transmission can occur from a person that is infected even two days before showing symptoms; however, uncertainties remain about the effect of transmission by  non-symptomatic persons.  ",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
When is a person infectious?,"The infectious period may begin one to two days before symptoms appear, but people are likely most infectious during the symptomatic period, even if symptoms are mild and very non-specific. The infectious period is now estimated to last for 7-12 days in moderate cases and up to two weeks on average in severe cases.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How severe is COVID-19 infection?  ,"Preliminary data from the EU/EEA (from the countries with available data) show that around 20-30% of diagnosed COVID-19 cases are hospitalised and 4% have severe illness. Hospitalisation rates are higher for those aged 60 years and above, and for those with other underlying health conditions.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Are some people more at risk than others?,"Elderly people above 70 years of age and those with underlying health conditions (e.g. hypertension, diabetes, cardiovascular disease, chronic respiratory disease and cancer) are considered to be more at risk of developing severe symptoms. Men in these groups also appear to be at a slightly higher risk than females.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Are children also at risk of infection and what is their potential role in transmission of covid19?,"Children make up a very small proportion of reported COVID-19 cases, with about 1% of all cases reported being under 10 years, and 4% aged 10-19 years. Children appear as likely to be infected as adults, but they have a much lower risk than adults of developing symptoms or severe disease. There is still some uncertainty about the extent to which asymptomatic or mildly symptomatic children transmit disease.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
What is the risk of infection in pregnant women and neonates?,"There is limited scientific evidence on the severity of illness in pregnant women after COVID-19 infection. It seems that pregnant women appear to experience similar clinical manifestations as non-pregnant women who have progressed to COVID-19 pneumonia and to date (as of 25 March), there have been no maternal deaths, no pregnancy losses and only one stillbirth reported. No current evidence suggests that infection with COVID-19 during pregnancy has a negative effect on the foetus. At present, there is no evidence of transmission of COVID-19 from mother to baby during pregnancy and only one confirmed COVID-19 neonatal case has been reported to date. ECDC will continue to monitor the emerging scientific literature on this question, and suggests that all pregnant women follow the same general precautions for the prevention of COVID-19, including regular handwashing, avoiding individuals who are sick, and self-isolating in case of any symptoms, while consulting a healthcare provider by telephone for advice.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
When should I be tested for COVID-19?,"Current advice for testing depends on the stage of the outbreak in the country or area where you live. Testing approaches will be adapted to the situation at national and local level. National authorities may decide to test only subgroups of suspected cases based on the national capacity to test, the availability of necessary equipment for testing, the level of community transmission of COVID-19, or other criteria. As a resource conscious approach, ECDC has suggested that national authorities may consider prioritising testing in the following groups:

hospitalised patients with severe respiratory infections;
symptomatic healthcare staff including those with mild symptoms;
cases with acute respiratory infections in hospital or long-term care facilities;
patients with acute respiratory infections or influenza-like illness in certain outpatient clinics or hospitals;
elderly people with underlying chronic medical conditions such as lung disease, cancer, heart failure, cerebrovascular disease, renal disease, liver disease, diabetes, and immunocompromising conditions.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Where can I get tested?,"If you are feeling ill with COVID-19 symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes COVID-19, he/she will inform you of the procedure to follow and advise where and how the test can be performed.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Do persons suffering from pollen allergy or allergies in general have a higher risk to develop severe disease when having COVID-19?,"A large proportion of the population (up to 15-20%) reports seasonal symptoms related to pollen, the most common of which include itchy eyes, nasal congestion, runny nose and sometimes wheezing and skin rash. All these symptoms are usually referred to as hay fever, pollen allergy or more appropriately allergic rhinitis. Allergic rhinitis is commonly associated with allergic asthma in children and adults. Allergies, including mild allergic asthma, have not been identified as a major risk factor for SARS-CoV-2 infection or for a more unfavourable outcome in the studies available so far. Moderate to severe asthma on the other hand, where patients need treatment daily, is included in the chronic lung conditions that predispose to severe disease. Children and adults on maintenance medication for allergies (e.g. leukotriene inhibitors, inhaled corticosteroids and/or bronchodilators) need to continue their treatment as prescribed by their doctor and should not discontinue their medication due to fears of COVID-19. If they develop symptoms compatible with COVID-19, they will need to self-isolate, inform their doctor and monitor their health as everyone else. If progressive difficulty breathing develops, they should seek prompt medical assistance.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How can we differentiate between hay fever/pollen allergy related respiratory symptoms and COVID-19 infection?,"Someone with COVID-19 usually has mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime. The following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency. It is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
Should people who suffer from pollen allergy self-isolate if they develop typical hay fever symptoms?,"No, there is no more reason for people suffering from pollen allergy to self-isolate if they develop their typical hay-fever symptoms than for anyone else. They should continue following the general guidance for physical distancing and seek medical advice if their symptoms get worse, if they develop fever or progressive difficulty breathing.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How can I avoid getting infected?,"The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands. Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets.",India,https://www.mohfw.gov.in/pdf/FAQ.pdf
How can I avoid infecting others?,"Cough or sneeze into your elbow or use a tissue. If you use a tissue, dispose of it carefully after a single use
Wash your hands with soap and water for at least 20 seconds.
Stay one metre or more away from people to reduce the risk of spreading the virus through respiratory droplets.  If you feel unwell, stay at home. If you develop any symptoms suggestive of COVID-19, you should immediately call your healthcare provider for advice.",EU,https://kidshealth.org/en/parents/coronavirus-questions-answers.html
What is physical distancing and why and how should I do it?,"Physical distancing aims to reduce physical contact between potentially infected people and healthy people, or between population groups with high rates of transmission and others with low or no level of transmission. The objective of this is to decrease or interrupt the spread of COVID-19. Note that the term ‘physical distancing’ means the same thing as the widely used term ‘social distancing’, but it more accurately describes what is intended, namely that people keep physically apart. Physical distancing measures might be implemented over an extended period and their success depends on ensuring that people maintain social contact – from a distance – with friends, family and colleagues. Internet-based communications and the phone are therefore key tools for ensuring a successful physical distancing strategy.",EU,https://kidshealth.org/en/parents/coronavirus-questions-answers.html
 Are face masks effective in protecting against COVID-19?,"If you are infected, the use of surgical face masks may reduce the risk of you infecting other people. On the other hand there is no evidence that face masks will effectively prevent you from becoming infected with the virus. In fact, it is possible that the use of face masks may even increase the risk of infection due to a false sense of security and increased contact between hands, mouth and eyes while wearing them. The inappropriate use of masks also may increase the risk of infection.",EU,https://kidshealth.org/en/parents/coronavirus-questions-answers.html
How long will it take to develop a vaccine?,"The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take months or years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people.",EU,https://kidshealth.org/en/parents/coronavirus-questions-answers.html
Am I protected against COVID-19 if I had the influenza vaccine this year?,Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What is the situation in Europe at the moment?,"In the last month, the number of cases and deaths reported in the EU/EEA has increased exponentially from less than 2 000 cases to more than 350 000 (as of 30 March). During this time, all EU/EEA countries have reported increasing numbers of new cases; Italy has reported more than 90 000 new cases and Spain more than 75 000 new cases. If this trend continues, based on the quick pace of growth of the epidemic observed in China and northern Italy, it is likely that in days, or a small number of weeks, nationally incapacitating epidemics will be observed in most EU/EEA Member States.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
How prepared is Europe for COVID-19? ,"The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in countries such as Italy and Spain has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What is the EU doing?,"The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak. To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level. The European Commission is organising regular coordination meetings between the Ministers of the Member States and providing some support for overcoming the equipment and supplies shortages that are being felt in many countries.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
How many people have been infected in the EU/EEA?,"COVID-19 is spreading rapidly worldwide, and the number of cases in Europe is increasing exponentially in many affected areas.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
How long will this outbreak last? When will we see the peak?,"Any predictions about when the peak will come and how long the outbreak will last are purely speculative at this stage. As greater evidence emerges regarding the nature of the virus and the effectiveness of measures used to control the outbreak, predictions relating to the future course of COVID-19 will become more reliable. ",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Should schools and day centres be closed?,"The evidence we have to date indicates that COVID-19 does not cause serious illness in children – not nearly as much as it does for adults. However, they can be infected as easily as adults, though the extent to which children play a role in the transmission of the virus to others is still uncertain. Depending on local circumstances, local authorities may decide to temporarily close schools and day care centres to reduce transmission in the community. However, school closures may have an impact on availability of healthcare staff and other essential services, due to the need for having to  care for their children when not in school, which needs to be taken into consideration (e.g. some countries only maintain schooling for these children of staff in a critical role). Also, if grandparents are asked to care for the children, the benefits of lower transmission between children might be offset by transmission into a more vulnerable population group. Wherever school closure happens, it is important that parents and caregivers are supported, for example by their employers applying teleworking or limited office shift schedules, so they can stay at home more and take care of their children.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What are the travel restrictions in the European Union?,"Travel has been shown to facilitate the spread of COVID-19 from affected to unaffected areas. Travel and trade restrictions during a public health event of international concern (PHEIC) are regulated under the International Health Regulations (IHR), part III. On 16 March, in an effort to slow the spread of the corona virus, the European Union leaders agreed to a temporary restriction on non-essential travel from third countries into the EU area by closing its borders for the next 30 days staring on 17 March 2020 The temporary travel restriction foresees exemptions for nationals of all EU Member States and Schengen Associated States (Iceland, Liechtenstein, Norway and Switzerland; whilst UK nationals are still to be treated in the same way as EU citizens until end 2020), for the purposes of returning to their homes. Exceptions are also foreseen for travellers with an essential function or need. In addition, most EU countries have also applied national borders closure and/or border checks and travel and transport restrictions or bans within their national borders and between different regions as a measure to slow the spread. See the measures implemented by EU Member States. Many EU countries have also encouraged their citizens to return home (with recommendations  for 14 days self-quarantine upon return) but also recommended that travellers avoid non-essential travels to areas with transmission of COVID-19.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What precautions should I take if I need to travel?,"Travellers should adhere to strict hygiene measures, wash hands with soap and water regularly, and/or use alcohol-based hand sanitisers. Touching the face with unwashed hands should be avoided. Travellers should avoid contact with sick persons, in particular those with respiratory symptoms and fever. It should be emphasised that older people and those with underlying health conditions should take these precautionary measures very seriously. Travellers who develop any symptoms during or after travel should self-isolate; those developing acute respiratory symptoms within 14 days upon return should be advised to seek immediate medical advice, ideally by phone first to their national healthcare provider.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What is the risk of infection when travelling by plane?,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller. The risk of being infected in an airport is similar to that of any other place where many people gather. If it is established that a COVID-19 case has been on an airplane, other passengers who were at risk (as defined by how near they were seated to the infected passenger) will be contacted by public health authorities. Should you have questions about a flight you have taken, please contact your local health authority for advice.  The European Union Aviation Safety Agency (EASA) recommended measures to be taken by national authorities, such as thorough disinfecting and cleaning of aircraft after each flight serving high-risk destinations. EASA also recommended that airlines operating on all routes step up the frequency of cleaning, disinfect as a preventative measure and ensure full disinfection of any aircraft which has carried a passenger who was suspected or confirmed as being infected with COVID-19. Airport operators should similarly disinfect terminals regularly.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
" Are people working in the supply chain including logistics, control services, retail, etc. at risk of getting COVID-19 by handling packages? What measures can be taken to reduce the risk of getting infected in this type of work setting?","People working in the supply chain, including logistics, control services, retail, etc. are not at greater risk to of getting COVID-19 as a result of managing packages. ECDC does not recommend any special measures at the supply chain over and above those addressed to the general public: frequent and thorough hand washing and use of alcohol-based hand disinfectants, keeping a distance from other employees, and not working if showing signs of respiratory symptoms.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What is the risk of COVID-19 infection from food products imported from affected areas?,"There has been no report of transmission of COVID-19 via food, and therefore there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What is the risk of COVID-19 infection from animals or animal products imported from affected areas?,There is no evidence that any of the animals or animal products authorised for entry into the European Union pose a risk to the health of EU citizens as a result of the presence of COVID-19.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
I have a lung condition; am I at more risk of getting COVID-19 than somebody who doesn’t have a lung condition?,"No - the infection can be caught by anyone. However, people with underlying lung conditions might be more likely to show symptoms of the infection or to have a more severe infection than others. So far, most people that get COVID-19 have a mild viral illness, but some people develop a chest infection/pneumonia. We are not yet certain if people with lung conditions are more likely to get a chest infection after COVID-19, but it is likely since this is the case with other viruses like flu.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Please can you provide detailed information about who is at high risk from a respiratory standpoint?,"Any severe respiratory condition is likely to place you at higher risk of complications, in particular:

Severe COPD
Severe asthma (meaning regularly requiring steroids for exacerbations, or taking a biological treatment of long-term corticosteroids)
Bronchiectasis, particularly if you experience frequent chest infections
Cystic fibrosis
Any other pulmonary condition where you are severely disabled by breathlessness (unable to leave the house due to breathlessness for example) or requiring long-term oxygen treatment
Lung cancer if currently active and being treated with chemotherapy or radiotherapy                                There are hundreds of different lung conditions and so it is not possible to list them all. Remember that being “high risk” means you have a slightly higher risk of complications of COVID-19 infection than other people, but you are still mostly likely, if you contract the virus, to have a mild illness or no symptoms at all.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Are there any additional measures that I should take to limit my risk of getting sick as I have a lung condition?,"Follow the advice from your country’s health authorities - this will be slightly different in each country depending on how many cases there are in your country. There are things that everyone should do to limit their risk. If you have a lung condition, the following are important.

Avoid contact with anyone who is sick. Ask sick friends or relatives not to visit you and keep distance of at least 2 metres from anyone sick that you encounter in public.
Do not touch your mouth, nose or eyes with unwashed hands unless unavoidable.
Wash your hands thoroughly after touching surfaces that may be contaminated. Wash your hands with warm water and soap for 20 seconds.
Make sure you take all of your regular medications and keep up with your usual treatments to keep your lungs as healthy as possible.
 ",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Should I consider self-isolating to avoid catching the virus?,"Self-isolating means staying indoors as much as possible and avoiding contact with others. The advice on self-isolation is different in different countries at the moment, but the following are sensible steps that apply to all countries in Europe:

If you have symptoms of fever, cough or a chest infection you should self-isolate.
If you do not have symptoms, avoid contact with anyone who is sick, even if they “just have a mild cold”.
Stay at home as much as possible, including working from home if this is feasible.
If you are in an area with a high number of COVID-19 cases, you may be asked to do a more strict isolation.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Am I safe outside of the house provided I avoid crowded areas e.g. can I go to the park or walk outside?,Yes. The virus is caught from people that have the infection and so there is no problem in going outside by yourself. What is important is to avoid contact with anyone who might be ill. Events outside where a large number of people are together have been cancelled around Europe and so you should not be attending any events or meetings where large numbers of people are coming together.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Are people with respiratory disease more likely to die of COVID-19 than those without?,"So far, older age and the presence of underlying conditions - including lung conditions - have been risk factors for death. Nevertheless, it is important to emphasise that most patients, even those with underlying respiratory disease, have had mild infections and have fully recovered.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
"As part of my condition, I regularly have a dry cough and fever – is there a way to distinguish these symptoms with those of COVID-19?","No. There is nothing unique about the symptoms of COVID-19 and this is why most people who are tested for the virus do not have it. Their cough and fever are actually caused by something else.

If you have a cough and fever that is typical for you, and you are not unwell enough to need hospital treatment, you should self-isolate at home until the symptoms have resolved.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Should I wear a mask to protect myself from the virus?,"For the general population wearing a mask is only recommended if you are experiencing symptoms, such as a cough or a fever, or if you are caring for someone with these symptoms.

Wearing a mask if you have a respiratory condition is not recommended as this may make breathing more difficult. If you have a respiratory condition and are concerned about catching COVID-19, discuss this with your doctor.

To prevent shortages of face masks it is important to only use them if needed. When wearing a mask, it is important to use and dispose of them in the correct way. The World Health Organization has useful information about this.  ",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Can I catch COVID-19 from my pet?,There is currently no evidence that humans can catch the disease from common household animals such as cats and dogs.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
My neighbours often smoke in their garden and the smoke comes into my house if the windows are open. Can COVID-19 be transmitted through exhaled smoke?,"There is no evidence that COVID-19 can be transmitted through smoke, but passive smoke exposure can still be harmful to people with lung conditions in other ways. It might be worth closing the windows if your neighbours are smoking.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
The news says that the worst affected by COVID-19 are the older age population and ‘people’ with pre-existing conditions. Are ‘people with pre-existing conditions’ also older or does this refer to people of any age?,Most people dying from COVID-19 in the reports from China and other countries have been aged over 80 years and have had advanced heart and lung conditions. They have had a combination of older age and severe pre-existing conditions. The majority of both older people and people with pre-existing conditions have had a mild viral illness and have fully recovered.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
"I had the flu vaccine this year, am I protected from this virus?",The flu vaccination only protects against the flu (influenza virus) and does not protect against COVID-19. There is no vaccine for COVID-19 and it is not likely that one will become available during the current pandemic.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
"What is being done to protect the vulnerable population (elderly, people with health conditions)?","To protect older people and those with underlying health conditions, most European countries have adopted “social distancing” and self-isolation procedures. This means asking people to stay at home more than usual, practice good hand hygiene and keeping their distance in public to reduce transmission.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
What are organisations in Europe doing about the situation?,"The European Centre for Disease Prevention and Control is focusing on containing the virus by identifying and testing suspected cases as early as possible, and limiting the impact of the disease by securing preparedness services and personal measures such as hand washing. ",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. The ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating.",EU,https://www.ecdc.europa.eu/en/novel-coronavirus-china/questions-answers 
